name,brand,family,notes_top,notes_heart,notes_base
mexx-whenever-wherever-for-her,mexx,green,mandarin orange|green leaves|pear,rhubarb|greengage|jasmine|violet,musk|cedar|vanilla
mexx-whenever-wherever-for-him,mexx,citrus,lemon|grapefruit|apple|ivy,water notes|seaweed|fir resin,oakmoss|cashmeran|patchouli
cowboy-kush,boy-smells,leather,white leather|hazelnut|mandarin orange,suede|saffron|cannabis|labdanum,patchouli|tonka bean|oud
vert-d-eau,chabaud-maison-de-parfum,green,lemon|mandarin orange|peach,fig leaf|white flowers,cedar|white musk
patchouli-1973,chabaud-maison-de-parfum,warm spicy,lavender|orange,cinnamon|patchouli|geranium,sandalwood|amber|musk
jasmin-poudre,comptoir-sud-pacifique,woody,calamus|fig|osmanthus,iris|jasmine|rose|ylang-ylang,styrax|musk|woody notes|amber
charlotte-aux-fraises,adopt-parfums,sweet,lemon,cupcake|milk|big strawberry,vanilla
laetitia,angela-ciampagna,aquatic,watery notes|cyclamen,watermelon|melon,maltol|musk
evergreen-dream,gallagher-fragrances,woody,galbanum|lime|white grapefruit,pine|lavender|birch|cashmeran,oakmoss|texas cedar|patchouli|musk|coumarin
gisada-uomo,gisada,amber,apricot|italian lemon|artemisia,cedar|wisteria|rose|labdanum,amber|suede|ambergris|moss
party-on-the-moon,haute-fragrance-company-hfc,citrus,calabrian bergamot|calabrian mandarin|violet leaf,black tea|jasmine|cedar,musk|sandalwood|amber
beautiful-wild,haute-fragrance-company-hfc,rose,rose|geranium|litchi,woody notes|spices|freesia,patchouli|tolu balsam|orris
jardin-de-sicile,id-parfums,citrus,bitter orange|amalfi lemon|petitgrain,petitgrain|lemon blossom|violet,white honey|vanille|patchouli
jaguar-woman,jaguar,floral,mandarin orange|red currant|watermelon,peony|water lily|jasmine sambac,amber|sandalwood|white musk|cashmere wood
banafsaj-night,junaid-perfumes,rose,rose,litchi,white musk|jasmine
fraicheur-muskissime,maitre-parfumeur-et-gantier,fruity,amalfi lemon|black currant|bergamot|grapefruit,blackberry|raspberry|jasmine,musk|sandalwood
philosophigue,mine-perfume-lab,green,green leaves,fig,musk
acqua-lotus,molinard,woody,sea notes|pepper|red berries|lemon|black currant,flowers|jasmine|turkish rose,white cedar extract|sandalwood|musk
i-zucchero-candito,nobile-1942,sweet,toffee,bonbon|caramel,spun sugar
b-b,v-canto,citrus,lemon|bitter orange|bergamot|bulgarian rose,cumin|lavender|ylang-ylang|pepper|lotus,myrrh|oakmoss|musk|sandalwood|birch
liquid-woman,tom-tailor,citrus,orange|petitgrain|mandarin orange|pepper,african orange flower|jasmine|rose,sandalwood|amber
swedoft-for-women,swedoft,fruity,kiwi,jasmine,musk
smash,sergio-tacchini,amber,green apple|lemon|yuzu,cardamom|white cedar extract|orange blossom,tonka bean|crystal amber|musk
original,police,aromatic,lavender|mint|bergamot,violet|geranium,musk|sandalwood|cedar
pinrose,pinrose,rose,bulgarian rose|elemi|anise,rose|cloves|iris,ambergris|labdanum|vanilla
3600-blue-for-men,perry-ellis,aromatic,cypress|bergamot|lemon,lavender|tarragon|rosemary|balsam fir|geranium,sandalwood|patchouli|vetiver|oakmoss
sexual,michel-germain,floral,apricot|osmanthus|honeysuckle|clementine|bergamot,rose|gardenia|freesia|jasmine|water lily,myrrh|cinnamon|sandalwood|vanilla|neroli
tristitia,memoize-london,rose,red rose|jasmine,vanilla,agarwood (oud)|civet|patchouli|amber
silk-pink,la-rive,floral,peony|freesia|litchi,rose|lily-of-the-valley|magnolia,cedar|amber
in-love,korloff-paris,woody,peony|pink pepper,rose|ylang-ylang|jasmine sambac,patchouli|agarwood (oud)|papyrus|tonka bean
cash-flower,fugazzi,rose,rose petals|rose,pepper|cashmere wood,musk|sandalwood|amber
saint-remy,fugazzi,woody,juniper berries|white iris|bergamot|ginger|pink pepper,leather|iris|amber|magnolia,vetiver|cedar|sandalwood|tonka bean
london-poppy,floral-street,citrus,orange|sicilian lemon|apricot blossom,sunflower|sea notes|jasmine sambac|neroli,hinoki|black amber|cedar
intimission-due,dilis-parfum,woody,black currant|bergamot|mandarin orange,rose|freesia,vanilla|patchouli|amber|woody notes
fragrance-03-blonde,dedcool,leather,saffron|juniper berries|pomelo,leather|black violet|rose,raspberry|white woods|vetiver
eau-so-beautiful,christina-aguilera,white floral,pomelo|wild strawberry|violet leaf,magnolia|lily-of-the-valley|gardenia|jasmine,musk|sandalwood|vanilla
xperience,christina-aguilera,floral,hawthorn|bergamot|frangipani,lotus|red peony|orange blossom,amber|mahogany|tolu balsam
lukomorie,carner-barcelona,citrus,lemongrass|bergamot|grapefruit,black currant|pink pepper|rose water,musk|patchouli|hibiscus seed
souvenir-desert-rose,afnan,fruity,fruity notes|musk,tropical fruits|powdery notes,citruses|amber|sandalwood
slip-into,avon,violet,blackberry|violet leaf|freesia,violet|orchid|brazilian rosewood,cashmeran|orris root|amber
musk-wood,avon,woody,bergamot,lavender,cedar|musk
cherish-the-moment,avon,floral,cassis|champagne|tulip,orchid|white ginger lily|lily-of-the-valley,patchouli|musk|cedar
far-away-rebel-diva,avon,caramel,pink pepper|litchi|co2 extracts|sicilian bergamot,jasmine sambac|rose|magnolia,popcorn|caramel|cacao|salt|labdanum
passion-dance-dark,avon,woody,orange blossom,coffee,sandalwood
scent-essence-romantic-bouquet,avon,floral,peony,freesia,vetiver
p-s-i-love-you,bath-body-works,rose,peony|litchi|citruses,rose|incense|jasmine|lily|orchid,musk|patchouli|sandalwood|amber
i-love-new-york-for-mothers,bond-no-9,white floral,tangerine|freesia,jasmine|lily,musk|sandalwood|amber
bad-boys-are-no-good-but-good-boys-are-no-fun,by-kilian,coca-cola,coca-cola|lime,cinnamon|apple|nutmeg,cedar|amberwood
212-surf-for-him,carolina-herrera,marine,sea notes,grapefruit,patchouli
gabrielle-l-eau,chanel,white floral,red berries|green notes,orange blossom|ylang ylang|tuberose|jasmine,musk|sandalwood
see-by-chloe-si-belle,chloe,white floral,birch leaf|neroli|cucumber,gardenia|orange blossom|apple|peach|jasmine|rose,white musk|coconut|vanilla|coumarin|amber
first-blush,clean,green,bergamot|white tea|mint,jasmine|neroli|basil,musk|cashmirwood|amber
wind-flowers,creed,white floral,jasmine|orange blossom|peach,jasmine sambac|tuberose|rose,orange blossom|musk|praline|iris|sandalwood
lily-of-the-valley,acqua-di-parma,white floral,black currant|bergamot|grapefruit,lily-of-the-valley|geranium|jasmine|magnolia,musk|cedar
dame-de-l-ile,gritti,musky,bergamot|lime,jasmine|ambergris|rose,musk|vanilla|animal notes
aqua-allegoria-forte-rosa-palissandro,guerlain,woody,coriander|lemon|aldehydes,damask rose|palisander rosewood|geranium,sandal|patchouli
jasmin-bonheur,guerlain,white floral,apricot|bergamot,jasmine|orange blossom|rose,iris
le-male-pirate-edition,jean-paul-gaultier,aromatic,mint|lavender|cardamom|artemisia|bergamot,cinnamon|orange blossom|caraway,tonka bean|vanilla|sandalwood|amber|cedar
live-colorfully-sunshine-2017,kate-spade,white floral,clementine|lime (linden) blossom|sicilian lemon,tiare flower|coconut nectar|gardenia,musk|vanilla
citrus-08,kayali-fragrances,citrus,pink grapefruit|rhubarb|bergamot|black currant|pink pepper,bulgarian rose|damask rose,musk|oakmoss|tonka bean
belle-bete,les-liquides-imaginaires,musky,hazelnut|red chilli pepper|iris flower|rhubarb|saffron|clary sage,coffee|cashmeran|vetiver|coumarin|atlas cedar|patchouli,suede|castoreum|civet|musk|ambrette (musk mallow)|costus
pink-fresh-couture,moschino,rose,pink grapefruit|black currant|lily-of-the-valley,rose|pomegranate|pink hyacinth,musk|cedar|ambroxan
quasar-drop-xy,o-boticario,citrus,lemon|bergamot|eucalyptus|ginger|anise|mandarin orange,floral notes|geranium,cedar|cypriol oil or nagarmotha|vetiver|labdanum|amber|nutmeg|cashmeran
invictus-silver-cup-collector-s-edition,paco-rabanne,woody,sea notes|grapefruit|mandarin orange,bay leaf|jasmine,patchouli|moss|ambergris|guaiac wood
lady-million-empire,paco-rabanne,fruity,red currant|orange|neroli essence,mirabelle|magnolia|osmanthus|orange blossom,cognac|patchouli|white musk
apex-parfum,roja-dove,citrus,mandarin orange|bergamot|orange|lemon,pineapple|jasmine|labdanum,cypress|patchouli|balsam fir|juniper berries|oakmoss|leather|ambergris|musk|incense|galbanum|tobacco|cashmere wood|elemi|rum|sandalwood|amber|benzoin|labdanum
impact-together,tommy-hilfiger,aromatic,aquatic notes|calone|black pepper,sage|artemisia,vetiver
jeans-couture-glam,versace,floral,aldehydes|pink pepper|petitgrain,fuchsia|butterfly orchid|rose,cedar|musk|amber
red-jeans,versace,floral,peach|apricot|freesia|black currant,rose|violet|lily-of-the-valley|water lily|ylang-ylang,musk|vanilla|sandalwood
moment-de-bonheur,yves-rocher,rose,green notes|geranium,rose,virginia cedar|patchouli
paris-rebel-collector-2014,yves-saint-laurent,rose,citruses|pink pepper|tomato leaf,rose,musk|woody notes|amber
bergamot-lavender,zara,lavender,bergamot,lavender,cedar
lovely-u,liu-jo,sweet,ground cherry|nectarine|red currant,mandarin blossom|wild rose|freesia,toffee|white musk|patchouli
drakkar-essence,guy-laroche,aromatic,mint|grapefruit,lavender|sage|woody notes,musk|tonka bean
strategis,dzintars,woody,bergamot|lemon|pine tree needles,vetiver|geranium|lily of the valley|sandalwood,amber|oakmoss|black pepper
miami-seduction-for-women,antonio-banderas,fruity,pear|raspberry|orange|black currant,black tea|lily-of-the-valley|jasmine|freesia,cedar|musk|sandalwood
experience-the-magic,bi-es,floral,white tea|bergamot|apple,freesia|rose|violet,cedar|musk|amber
star-flower,brocard,lavender,bergamot|grapefruit|mandarin orange,lavender|jasmine sambac|peony|pineapple blossom,vanilla|tonka bean|sandalwood
vince-camuto-solare,vince-camuto,warm spicy,mandarin orange,cardamom|pimento,cashmere wood|musk
adidas-uefa-best-of-the-best,adidas,woody,lavender|violet leaf|lemon,clary sage|apple|cashmeran,patchouli|musk|vanilla
lou-lou,arabian-oud,floral,hibiscus|gardenia,lotus|freesia,vanilla
tulipe-noire,atkinsons,musky,rhubarb|coriander|bergamot,tuberose|jasmine,ambroxan|musk|cedar|sandalwood
quatre-en-bleu,boucheron,white floral,bergamot|lemon|mandarin orange,egyptian jasmine|tuberose|rose,akigalawood|musk|sandalwood
sumatera,coquillete,warm spicy,cinnamon|patchouli|black pepper|white flowers|jasmine,patchouli|cedar|musk,madagascar vanilla|jasmine
navy-for-men,dana,aromatic,sage|tangerine|water lily,lavender|juniper|geranium|nutmeg,musk|leather
bad,diesel,aromatic,lavender|bergamot|cardamom|violet leaf,caviar|orris root|sage,woody notes|tobacco|ambroxan|tonka bean|patchouli
dkny-be-100-delicious,donna-karan,woody,pear|pistachio|mandarin orange|black currant,magnolia|rose water|orange blossom,tonka bean|sandalwood|white woods
dkny-be-delicious-red-art,donna-karan,marine,green apple|grapefruit,sea water|jasmine,sandalwood|amber|patchouli
champs-de-provence,eight-bob,citrus,bergamot|orange|pear,orange blossom|jasmine|rose,mate|ambroxan|musk
fleur-de-cabotine,gres,floral,mignonette|syringa|mandarin orange,cactus flower|lily|orchid|peony,nectarine|musk|heliotrope
cassandra-blanc,jeanne-arthes,woody,fruity notes|amalfi lemon,floral notes,vanille|patchouli|sandalwood|virginia cedar|musk
mercedes-benz-woman-eau-de-toilette,mercedes-benz,white floral,pear leaf|black currant|mandarin orange,gardenia|jasmine sambac|lily-of-the-valley,iris flower|sandalwood|musk
pink-topaz,paris-elysees,rose,pink pepper|bergamot,rose|violet|star anise|ylang-ylang|raspberry,cedar|white musk|powdery notes|vanilla
l-or-de-bourbon,princesse-marina-de-bourbon,fruity,big strawberry|ylang-ylang|rose|black currant,honey|exotic fruits|grapes|pepper|amber|ginger,tonka bean|vanilla|ambrette (musk mallow)
sportivo,tonino-lamborghini,citrus,bitter orange|pimento|cardamom,lavender|black tea|sage,labdanum|vetyver|cedar
victorinox-swiss-unlimited-energy,victorinox-swiss-army,aromatic,mint|grapefruit|violet leaf,lavender|wormwood|nutmeg,cedar|amber|musk
fili,v-canto,citrus,grapefruit|bergamot|cassis,leather|cypriol oil or nagarmotha|cinnamon|cardamom,oakmoss|woody notes|patchouli|amber
fou-d-elle,ted-lapidus,floral,peach|lotus|pepper|jasmine,hiacynth|wild rose|praline|freesia,vanilla|cedar
coconut-cove,skylar,coconut,bergamot|hibiscus|cardamom|lemon,coconut|gardenia|green notes|jasmine,ambroxan|woodsy notes|heliotrope|vanilla orchid
amber-rose,shay-blue-london,rose,rose,dulce de leche,white amber
police-legend-for-man,police,aromatic,lavender|black pepper|absinthe,star anise|coumarin|geranium,amberwood|leather|vetiver
tank-plate-for-her,replay,vanilla,almond|red fruits|freesia,iris|tuberose|peach|jasmine,tonka bean|vanilla|sandalwood|amber
benzin,rammstein,woody,rum|cognac|smoke|walnut,leather|birch|palo santo|guaiac wood|incense,vetiver|castoreum|amber|musk
bright-red,orlov-paris,woody,cashmere wood,rose|sandalwood|incense|vetiver,patchouli|cedar|musk
accident-a-la-vanille-almond-cake-limited-edition,jousset-parfums,almond,vanilla,vanilla|biscuit|sandalwood,almond|vanilla|styrax
smyth,henry-rose,fruity,green apple|melon|watery notes|sorbet|pineapple,star jasmine|apricot|white tea,iso e super|musk|white woods|sandalwood
catalyst,halston,white floral,hiacynth|bergamot|gardenia|peach,orris root|carnation|tuberose|narcissus|lily-of-the-valley|jasmine|orange blossom|rose|orchid,cedar|sandalwood|amber|musk|vanilla
jasmin,franck-boclet,animalic,coriander|geranium|pink pepper,jasmine|rose|violet|ylang-ylang,animal notes|leather|musk
golden,fiorucci,fruity,bergamot|green apple|brazilian rosewood|cardamom|ceylon cinnamon,jasmine|hyacinth|geranium|rose|ylang-ylang|black currant,sandalwood|musk|peach|yellow plum
instance-harmonia,eudora,powdery,bergamot|mimosa|pear,jasmine|iris|cardamom,musk|sandalwood|vanilla
diamonds-and-sapphires,elizabeth-taylor,white floral,melon|lily-of-the-valley|freesia|peach|galbanum,rhubarb|ylang-ylang|jasmine|rose|spices,amber|musk|sandalwood|vetiver
senorita-mon-amour,el-ganso,almond,almond milk|black currant|mandarin orange|orange,heliotrope|rose|jasmine,vanilla|musk|iris|ambergris
rituel-d-orient-secret-iv,eisenberg,citrus,bergamot|lemon,rose|agarwood (oud)|jasmine,patchouli|musk|guaiac wood|amber|vanilla
ab,blood-concept,metallic,aluminum|aldehydes,slate|pebbles|water notes,metallic notes|virginia cedar
eternal-magic,avon,powdery,violet|pink pepper|bergamot,iris|rose|magnolia,vanilla|woody notes
aquavibe-ama-aquavibe-love-now,avon,fruity,pear|orange|peach,strawberry|brown sugar|raspberry,musk|amber|brown sugar
little-black-dress-weekend,avon,citrus,lemon|brazilian orange|mandarin orange,orange blossom|osmanthus|pink pepper,musk|patchouli|amber
elite-gentleman-weekend,avon,woody,grapefruit|italian cypress|cardamom,lavender|violet leaf|sandalwood,amber|teak wood|labdanum
eve-become,avon,fruity,apple|peach|citruses,gardenia|jasmine|butterfly orchid,musk|cedar|ambrox super|sandalwood
beekman-place,bond-no-9,fresh spicy,pear|pineapple|bergamot|black currant,watery notes|driftwood|lemon|basil|pepper|geranium,sandalwood|musk|tonka bean|leather|patchouli|amber|oakmoss
nordic-light,clean,citrus,mandarin orange|bergamot|orange,lily|magnolia|vanilla orchid,sandalwood|praline|vanilla
terra-woods,clean,vanilla,jasmine sambac|geranium,coconut,woodsy notes|tonka bean|vanilla|musk
h2eau-nectarine-petal,clean,fruity,nectarine,peach blossom|chamomile,amber|musk
eau-de-minthe,diptyque,fresh spicy,mint|nutmeg,geranium|rose,patchouli
dolce,dolce-gabbana,floral,neroli|papaya flower,water lily|narcissus|amaryllis,musk|cashmeran
light-blue-italian-zest-pour-homme,dolce-gabbana,citrus,grapefruit|bergamot|lemon|mandarin orange,sichuan pepper|rosemary|hedione|palisander rosewood|freesia,musk|incense|oakmoss|amberwood
shabby-chic,giardini-di-toscana,rose,peony,bulgarian rose|white flowers,musk|javanol|cedar
ancestry-in-paris,amway,white floral,green leaves|sea notes,jasmine|peach|rose,white musk|tuberose|amber
my-couture,givenchy,white floral,black currant|freesia,jasmine|lily-of-the-valley,almond|musk
gucci-guilty-pour-homme-diamond,gucci,citrus,italian lemon|mandarin orange|green leaves|pink pepper,lavender|neroli|orange blossom|coriander,cedar|patchouli
nashi-blossom,jo-malone-london,floral,lemon,pear blossom|rose,white musk
rose-magnolia-cologne-2024,jo-malone-london,floral,magnolia|black pepper,may rose|rose de mai|geranium,amber|patchouli|amberwood|moss
walk-on-air-sunset,kate-spade,floral,magnolia petals|cyclamen|bergamot|litchi,magnolia|egyptian jasmine|night blooming jasmine|bulgarian rose|ylang-ylang,iris|heliotrope|amber|ambrette (musk mallow)|sandalwood
idole-eau-de-parfum-limited-edition-2021,lancome,rose,pear|bergamot,turkish rose|may rose|indian jasmine,vanilla|white musk
o-de-lancome-fourreaute,lancome,citrus,citruses|lemon|mandarin orange|bergamot|floral notes,green accord|basil|honeysuckle|jasmine|rosemary|coriander,vetiver|moss|sandalwood
black-intensitive-aoud,mancera,warm spicy,pepper|cloves|peach,rose|saffron|jasmine|violet,agarwood (oud)|gurjan balsam|cedar|sandalwood
nina-illusion,nina-ricci,citrus,yuzu|italian lemon|pink pepper,raspberry|orange blossom,bourbon vanilla|patchouli
lady-million-eau-de-toilette,paco-rabanne,white floral,neroli|lily-of-the-valley,gardenia|hyacinth,honey|patchouli
dandy-me,paco-rabanne,warm spicy,cinnamon|saffron|grapefruit,may rose|geranium,agarwood (oud)|sandalwood|vanilla
mehrab,rasasi,tobacco,rose|saffron,tobacco|amber,musk|woody notes
dalia-more,salvador-dali,fruity,pear|sicilian bergamot|candy apple,red rose|passion flower|raspberry,musk|crystal amber
chi,tiziana-terenzi,earthy,coffee|caramel|milk|almond,cambodian oud|earthy notes|truffle|vanilla|patchouli,tonka bean|caramel|vanilla flower|indian oud|cypriol oil or nagarmotha
bright-crystal-parfum,versace,amber,red fruits|yuzu|pomegranate|caramel,helvetolide|peony|magnolia|lotus,ambrox super|norlimbanol™|musk
torino23,xerjoff,white floral,bergamot|rose|cardamom|nutmeg,tuberose|neroli|ylang-ylang|jasmine,cashmere wood|musk|amber|cedarwood|patchouli
night-skyline,zara,warm spicy,ginger,artemisia,suede
eclipse-1996,oriflame,aquatic,green notes|melon|orange,water notes|lily-of-the-valley|rose|jasmine,musk
miss-o-club-prive,oriflame,white floral,bergamot|pear leaf|green apple,lily-of-the-valley|african orange flower|nectarine,amber|patchouli|musk
the-babes-crazy-kiwi,oriflame,fruity,kiwi|pineapple,freesia|rose,vanille|musk
1831-norma-bellini,histoires-de-parfums,amber,aldehydes|pink pepper,ylang-ylang|jasmine|rose|labdanum,benzoin|musk|praline|vanilla|patchouli
dark,desigual,warm spicy,saffron|cinnamon|ginger|black pepper|nutmeg,vetiver|orange blossom|patchouli|driftwood,black vanilla husk|tonka bean|oakmoss|amber|tobacco|musk
gincenso,daniel-barros,aromatic,juniper|star anise|bergamot|pink pepper,ginger|geranium|nutmeg|violet,olibanum|vetiver|cedar|elemi|musk
diavolo,antonio-banderas,fresh spicy,mandarin orange|bergamot|green leaves,pepper|geranium|patchouli,leather|musk|sandalwood
electric-blue-seduction-for-women,antonio-banderas,fruity,exotic fruits|fruits|citruses,flowers,patchouli|musk
onyx-pearl,agonist,woody,agarwood (oud)|suede|floral notes,heliotrope|amber|patchouli,white musk|virginia cedar|sandalwood
lady-in-black,bi-es,powdery,white peach|apricot|bergamot,jasmine|violet|heliotrope,vanilla|sandalwood|musk
ethno,brocard,citrus,pomelo|passionfruit|watermelon,kumquat|freesia|peony,musk|peach|rose
l-esthete,faberlic,fruity,pineapple|red apple|mandarin orange|yuzu|lemon,sea notes|jasmine|nutmeg|violet|pear|petitgrain,cedar|white musk|plum|amber
limitless,jennifer-lopez,woody,black pepper|red apple|lemon,patchouli|ylang ylang|egyptian jasmine,palo santo|sandalwood|vanilla|velvet|musk
dream-of-pink,lacoste-fragrances,floral,red berries|iced tea,lotus|rose,sandalwood|musk
this-is-really-her,zadig-voltaire,rose,pink pepper|basil,rose|chestnut,honey|patchouli|vanilla
red-santal,abel,warm spicy,cloves|black|pink pepper,ginger|thyme|bergamot,sandalwood|australian sandalwood
fun-sensations,adidas,fruity,raspberry|lemon|pink pepper,litchi|violet|rose,musk|sandalwood
labdanum-is-my-love-language,aromas-de-salazar,amber,olibanum,dark patchouli|lavender extract,spanish labdanum|vanilla|tonka bean|siam benzoin|guaiac wood|amber
mandarine-glaciale,atelier-cologne,citrus,mandarin orange|lemon|bergamot,ginger|petitgrain|jasmine,vetiver|oakmoss|white amber
solstice,bjork-and-berries,white floral,neroli|petitgrain,orange blossom|lavender,white amber|cashmere wood
hinoki-shower,borntostandout,woody,cypress|pine|camphor,cedar|woody notes|thyme,tobacco|vetiver|moss
la-formidable,bourjois,floral,bergamot|solar notes,freesia|floral notes,patchouli
candie-s-luscious,candie-s,fruity,red currant|blood grapefruit,wild rose|osmanthus,vanilla sugar|amber
all-for-love,celine-dion,woody,freesia|green notes|mandarin orange,orange blossom|cedar|rose|jasmine,sandalwood|vetiver|musk
eau-de-biarritz,comptoir-sud-pacifique,marine,ylang-ylang|bergamot|rose,sea notes|seaweed|tonka bean|magnolia,benzoin|sand|vanilla|sandalwood
grenadine,adopt-parfums,fruity,raspberry|black currant,rose|violet,rose|violet
the-majestic-vanilla,alexandre-j,amber,cinnamon|mandarin orange|bergamot,galbanum|peach|tonka bean,labdanum|vanilla|amberwood|patchouli|musk
corason,agatha-ruiz-de-la-prada,floral,cassia|peony,magnolia|rose|lilac,sandalwood|white musk|peach
dkny-be-delicious-fresh-blossom-juiced,donna-karan,floral,freesia|passion flower|grapefruit|black currant,apple blossom|rose|lily-of-the-valley|sweet pea,vetiver|musk
dkny-be-delicious-paris,donna-karan,patchouli,red apple,violet|jasmine,patchouli|vanilla
red-wood,dsquared2,fruity,cranberry|pink pepper,litchi|rose|magnolia,musk|cedar|amberwood
faconnable-homme,faconnable,aromatic,sea notes|mint|jasmine|melon|mandarin orange|orange blossom,pelargonium|damask rose|cedar,musk|sandalwood|amber|bourbon vanilla
white-touch,franck-olivier,aquatic,water lily|melon|pear|black currant,jasmine|artemisia|violet|freesia|rose,musk|sandalwood
stance,jaguar,woody,apple|cardamom|black pepper|mandarin orange|nutmeg,cashmere wood|cedar|vetiver|patchouli,vanilla|musk|amber|moss|papyrus
noisette-iris,jul-et-mad-paris,powdery,turkish rose|roasted coffee beans|pink pepper,orris|hazelnut|peach blossom|black currant,vanilla|musk|patchouli|labdanum
kkw-x-kris,kkw-fragrance,white floral,campari|white wine|tagetes|freesia,gardenia|tuberose|lily-of-the-valley|jasmine,cashmere wood|amber|vetiver
black-oud,lonkoom-parfum,fresh spicy,nutmeg|cumin,agarwood (oud)|labdanum,vanilla|amber|sandalwood|cedar
midnight-butterfly,marks-spencer,floral,plum|peach blossom|pomelo,mimosa|tuberose|african orange flower,heliotrope|orchid
sillage-de-the,masaki-matsushima,green,bamboo leaf|bergamot,green leaves|tiare flower,solar notes|cedar|vanilla
seductive-elixir,naomi-campbell,woody,pomegranate|red currant|paprika|pink pepper,hibiscus|freesia|violet,musk|sandalwood
billion-dollar-red-bond,paris-elysees,warm spicy,apple|cardamom,spicy notes|water notes,vetiver|cedar|musk
sweet-and-strong,paris-elysees,fruity,citruses|mandarin orange|orange,peach|white flowers|rose|ylang-ylang|clove,vanilla|woody notes
moonstone,phlur,white floral,black currant|green apple|pineapple,jasmine|mandarin orange|lemon zest|geranium,amber|sandalwood|vanilla
phloria,phlur,white floral,bergamot,gardenia|jasmine|solar notes,sandalwood
fracas-for-men,robert-piguet,citrus,apple|lime|neroli|bergamot,rose|teak wood|patchouli,labdanum|musk|vanilla
eclat-d-arpege-mon-eclat,lanvin,powdery,aloe vera|bergamot,apricot|jasmine|rose,white musk|sandalwood
hellanut,xyrena,cacao,hazelnut|milk|sugar,cacao|floral notes,vanilla
precious-white,sergio-tacchini,aquatic,watermelon|pear|white peach,watery notes|magnolia|white rose,white musk|palisander rosewood|sandalwood
jammin-vibration,reminiscence,woody,black currant|cardamom|green notes|bergamot|pink pepper,virginia cedar|jasmine|gardenia|freesia,patchouli|tonka bean|vanille|white musk
bravo,ramon-monegal,fruity,cassis|strawberry|apricot|jasmine|rose,leather|clove|artemisia|cinnamon,musk|oakmoss|amber
nitroglyzerin,rammstein,citrus,grapefruit|bergamot|lemon|cardamom,bitter orange|brazilian rosewood|magnolia|geranium|rose,cedarwood|vetiver|moss|musk
puma-create,puma,fruity,grapefruit|strawberry|apple,lily-of-the-valley|pink pepper|freesia,oakmoss|sandalwood|vanilla|amber
animal,morph,woody,sandalwood|iris,spicy notes|musk,sandalwood|ambroxan
berlin-ii,michael-michalsky,vanilla,peach|pink pepper|bergamot,iris|tuberose|jasmine,vanilla|tonka bean|patchouli
tango-oud,masque-milano,woody,pink pepper|bergamot|cardamom|cinnamon,agarwood (oud)|cumin|rose|patchouli|jasmine sambac,woody notes|ambrarome|benzoin|leather|sandalwood|vanilla|musk|tonka bean|clover
bois-nuit,lpdo,rose,plum|orange,rose|patchouli leaf|geranium|red berries,white musk|ambergris|teak wood
tout-a-vous,louis-feraud,white floral,pink grapefruit|pink pepper|bergamot,gardenia|lotus|jasmine,white musk|cedar|sandalwood
madame-in-love,la-rive,floral,peony|citruses,fruity notes|osmanthus|rose,sandalwood|patchouli
chocolat-bambola,il-profvmo,floral,mango|papaya,mexican chocolate,almond blossom|silk tree blossom|mimosa|peach blossom|cherry blossom
lavender-and-gold-amber,gandini-1896,aromatic,lavender|geranium|coriander,taif rose|lily-of-the-valley,amber|patchouli|virginia cedar|vanille
cricket-song,floraiku,floral,bergamot,magnolia,vetiver
symphonie-passion,filippo-sorcinelli,woody,lemon|peony,vetiver|cashmeran,cedar|musk|sandalwood
emanuel-ungaro-apparition-exotic-green,emanuel-ungaro,citrus,bamboo|amalfi lemon|mandarin orange|black currant,violet leaf|rose|cinnamon,virginia cedar|musk|patchouli|sandalwood
fruit-d-amour-green,emanuel-ungaro,fruity,green apple|mandarin orange|orange,jasmine|white peach,white musk
aurora,electimuss,warm spicy,agarwood (oud)|saffron|cardamom|cloves,rose|sandalwood|patchouli,white musk|ambergris
2-wild-water,dilis-parfum,aromatic,juniper|black pepper|bergamot,iris|pine needles|black currant,vanilla|pine|amber
chilehead,dame-perfumery,aromatic,chili pepper|lime|peppermint|thyme|celery|cumin|bergamot,galbanum|artemisia|ylang-ylang|geranium|neroli,vetiver|birch tar|oakmoss|civet|castoreum|musk|patchouli|myrrh|labdanum|sandalwood|olibanum
sun-light,cosmogony,sweet,green mandarin|cardamom|black|pink pepper|juniper,maple sap|sea salt|orange blossom|jasmine|honeysuckle|rose,caramel|vanilla|chestnut|benzoin|oak
kiss-me,city,fruity,sorbet|strawberry,forest fruits,musk
red-wine-brown-sugar,bohoboco,fruity,red berries|dried fruits|raspberry,red wine|cedar|patchouli,liquor|brown sugar|leather|caramel
vintage,blumarine,citrus,bergamot|lemon|peach,peony|water lily|rose|lily|jasmine,sandalwood|musk|amber|iris
vanille-flamboyante-de-bourbon,la-maison-de-la-vanille,sweet,rose|night blooming jasmine|plum|honey,ylang-ylang|geranium,bourbon vanilla|sandalwood|musk
ice-sheers-delicious,avon,fruity,blackberry|grapefruit,mojito|mint|black pepper,musk|sandalwood
lucky-me-intense,avon,fresh spicy,sichuan pepper|mandarin orange|apple,cinnamon leaf|nutmeg|rosemary,vetiver|amber|patchouli
eve-prive,avon,white floral,red apple,jasmine,cedar
outspoken-intense-by-fergie,avon,fruity,blackberry|carambola (star fruit)|kumquat,gardenia|passion flower|african orange flower,musk|virginia cedar|amber
